,gen_1_dispatched,gen_2_dispatched,gen_3_dispatched,gen_4_dispatched,gen_5_dispatched,gen_6_dispatched,gen_7_dispatched,gen_8_dispatched,gen_9_dispatched,gen_10_dispatched,Reserve Size,Disturbance Size,ROCOF,Settling Frequency,Nadir
0,1000.0,0.0,650.0,632.0,254.0,650.0,560.0,540.0,830.0,250.0,55.0,540.0,0.144702145047,49.3390633314,48.549653276
1,1000.0,0.0,650.0,632.0,254.0,650.0,560.0,576.0,830.0,250.0,7500.0,1000.0,0.416612076432,48.8775151806,46.5999403607
2,1000.0,0.0,650.0,632.0,254.0,650.0,560.0,480.0,830.0,250.0,7500.0,1000.0,0.423169365197,48.8589265345,46.5531623665
3,1000.0,0.0,650.0,632.0,248.0,650.0,560.0,540.0,830.0,250.0,20.0,830.0,0.214370246627,49.0481993061,47.3734068115
4,1000.0,0.0,650.0,632.0,254.0,650.0,560.0,540.0,758.0,250.0,92.0,758.0,0.198519767877,49.0836290742,47.3651703569
5,1000.0,0.0,650.0,632.0,254.0,650.0,560.0,540.0,756.0,250.0,35.0,560.0,0.148295507292,49.2966042217,48.5299630173
6,1000.0,0.0,655.0,632.0,254.0,650.0,560.0,540.0,830.0,250.0,55.0,540.0,0.144787224444,49.3295779817,48.539290491
7,1000.0,0.0,650.0,632.0,254.0,650.0,560.0,540.0,768.0,250.0,82.0,768.0,0.199923851678,49.0842154169,47.3677331308
8,1000.0,0.0,650.0,632.0,237.0,650.0,560.0,540.0,830.0,250.0,20.0,830.0,0.213651606106,49.0854246027,47.3752655408
9,1000.0,0.0,650.0,632.0,254.0,664.0,560.0,540.0,830.0,250.0,55.0,540.0,0.14520736016,49.3158192048,48.5171631396
10,1000.0,0.0,650.0,632.0,254.0,650.0,568.0,540.0,830.0,250.0,1.0,254.0,0.115826480669,49.4584376571,48.9971087472
11,1000.0,0.0,650.0,632.0,254.0,650.0,560.0,540.0,830.0,250.0,20.0,830.0,0.216099139598,49.0029737142,47.3698265276
12,1000.0,0.0,650.0,632.0,250.0,650.0,560.0,540.0,830.0,250.0,30.0,650.0,0.163426634633,49.2487297008,48.2757041582
13,1000.0,0.0,605.0,632.0,254.0,650.0,560.0,540.0,830.0,250.0,55.0,540.0,0.144672010415,49.3455564027,48.5667511852
14,1000.0,0.0,650.0,632.0,254.0,650.0,560.0,522.0,830.0,250.0,73.0,522.0,0.139687051604,49.3759392625,48.5656296054
15,1000.0,0.0,650.0,632.0,254.0,650.0,560.0,540.0,830.0,250.0,55.0,540.0,0.144702145047,49.3390633314,48.549653276
16,1000.0,0.0,650.0,632.0,254.0,650.0,560.0,540.0,830.0,250.0,1.0,254.0,0.115809140106,49.4632622519,49.0271096129
17,1000.0,0.0,650.0,632.0,254.0,650.0,560.0,540.0,816.0,250.0,34.0,816.0,0.212087031935,49.0541284874,47.3720944392
18,1300.0,0.0,650.0,632.0,254.0,650.0,560.0,540.0,830.0,250.0,30.0,650.0,0.14241889794,49.2360030708,48.3602080955
19,1000.0,0.0,650.0,632.0,254.0,650.0,560.0,540.0,794.0,250.0,35.0,560.0,0.146101773068,49.3668695033,48.5446675832
20,1000.0,0.0,650.0,632.0,236.0,650.0,560.0,540.0,830.0,250.0,35.0,560.0,0.145835379286,49.360808353,48.5392914508
21,1000.0,0.0,650.0,632.0,254.0,650.0,560.0,540.0,830.0,290.0,30.0,650.0,0.164641738155,49.2182232225,48.3415436888
22,1000.0,0.0,650.0,632.0,254.0,650.0,560.0,540.0,830.0,250.0,48.0,632.0,0.164561470557,49.2114446977,48.1992474826
23,960.0,0.0,650.0,632.0,254.0,650.0,560.0,540.0,830.0,250.0,30.0,650.0,0.16467271574,49.2700306053,48.0667509098
24,1000.0,0.0,650.0,632.0,254.0,650.0,560.0,576.0,830.0,250.0,30.0,650.0,0.164839529063,49.1868324943,48.2060795349
25,1000.0,0.0,650.0,632.0,254.0,650.0,560.0,540.0,774.0,250.0,55.0,540.0,0.144203374877,49.3692295605,48.576981259
26,1000.0,0.0,650.0,632.0,254.0,650.0,560.0,540.0,830.0,365.0,30.0,650.0,0.148935917481,49.234407472,48.3611706698
27,1000.0,0.0,650.0,632.0,254.0,650.0,548.0,540.0,830.0,250.0,1.0,254.0,0.115789881667,49.4589704716,49.0668217184
28,1000.0,0.0,650.0,632.0,254.0,650.0,508.0,540.0,830.0,250.0,7500.0,1000.0,0.422158324669,48.9230809616,46.5959047428
29,1000.0,0.0,650.0,632.0,254.0,650.0,560.0,567.0,830.0,250.0,30.0,650.0,0.151797937538,49.2186842918,48.2623385399
30,1000.0,0.0,650.0,632.0,254.0,650.0,560.0,540.0,832.0,250.0,1.0,254.0,0.115951774395,49.4604966446,49.0194858526
31,1000.0,0.0,650.0,620.0,254.0,650.0,560.0,540.0,830.0,250.0,30.0,650.0,0.164555862483,49.2331304433,48.2746851561
32,1000.0,0.0,650.0,632.0,235.0,650.0,560.0,540.0,830.0,250.0,600.0,250.0,0.0568982700037,49.5941793968,49.5941793968
33,1000.0,0.0,650.0,632.0,254.0,650.0,560.0,525.0,830.0,250.0,70.0,525.0,0.14052295498,49.3690836401,48.5640478068
34,1000.0,0.0,650.0,632.0,254.0,650.0,560.0,540.0,788.0,250.0,35.0,560.0,0.146036882772,49.3597819279,48.5448909684
35,900.0,0.0,650.0,632.0,254.0,650.0,560.0,540.0,830.0,250.0,600.0,250.0,0.0631702345642,49.1920962645,49.1920962645
36,1000.0,0.0,650.0,650.0,254.0,650.0,560.0,540.0,830.0,250.0,30.0,650.0,0.169766853114,49.1733755144,48.180526675
37,900.0,0.0,650.0,632.0,254.0,650.0,560.0,540.0,830.0,250.0,48.0,632.0,0.173860213191,49.1632454161,47.6560256464
38,1000.0,0.0,650.0,590.0,254.0,650.0,560.0,540.0,830.0,250.0,20.0,830.0,0.21651691005,48.977459524,47.3646953068
39,820.0,0.0,650.0,632.0,254.0,650.0,560.0,540.0,830.0,250.0,20.0,830.0,0.243391735378,45.9960536002,45.9960536002
40,1000.0,0.0,650.0,632.0,254.0,650.0,560.0,540.0,830.0,380.0,1.0,254.0,0.116480554099,49.4629993738,49.0182858495
41,1000.0,0.0,650.0,632.0,249.0,650.0,560.0,540.0,830.0,250.0,600.0,250.0,0.0568265051202,49.5726332715,49.5726332715
42,1260.0,0.0,650.0,632.0,254.0,650.0,560.0,540.0,830.0,250.0,30.0,650.0,0.166626300319,49.2184659719,48.3281440533
43,1000.0,0.0,650.0,632.0,254.0,650.0,560.0,510.0,830.0,250.0,600.0,250.0,0.057349765566,49.5428636166,49.5428636166
44,1000.0,0.0,650.0,632.0,254.0,650.0,560.0,549.0,830.0,250.0,30.0,650.0,0.164531471428,49.2375127384,48.2637434822
45,1000.0,0.0,650.0,632.0,254.0,650.0,560.0,567.0,830.0,250.0,600.0,250.0,0.057008133751,49.5427434897,49.5427434897
46,1000.0,0.0,650.0,632.0,245.0,650.0,560.0,540.0,830.0,250.0,30.0,650.0,0.162855502268,49.274429743,48.2808438044
47,1000.0,0.0,650.0,632.0,254.0,650.0,560.0,540.0,830.0,395.0,1.0,254.0,0.116619988731,49.4630236746,49.0175137189
48,1000.0,0.0,650.0,632.0,254.0,650.0,560.0,540.0,810.0,250.0,48.0,632.0,0.163113366119,49.2636243036,48.2131064307
49,1000.0,0.0,655.0,632.0,254.0,650.0,560.0,540.0,830.0,250.0,7500.0,1000.0,0.414806747833,48.9397652846,46.5980646257
50,1000.0,0.0,650.0,632.0,254.0,650.0,560.0,540.0,776.0,250.0,600.0,250.0,0.0573686620484,49.5815789046,49.5815789046
51,1000.0,0.0,650.0,632.0,254.0,650.0,508.0,540.0,830.0,250.0,20.0,830.0,0.217235626585,48.957805606,47.3681436936
52,880.0,0.0,650.0,632.0,254.0,650.0,560.0,540.0,830.0,250.0,600.0,250.0,0.0669110570973,48.8621197836,48.8621197836
53,1000.0,0.0,650.0,632.0,249.0,650.0,560.0,540.0,830.0,250.0,30.0,650.0,0.163253432233,49.2537657853,48.2769639225
54,1000.0,0.0,650.0,632.0,239.0,650.0,560.0,540.0,830.0,250.0,48.0,632.0,0.16232632839,49.2953677336,48.2141759115
55,1000.0,0.0,650.0,632.0,254.0,650.0,548.0,540.0,830.0,250.0,600.0,250.0,0.0572242802772,49.5428303821,49.5428303821
56,1000.0,0.0,650.0,632.0,254.0,650.0,560.0,525.0,830.0,250.0,7500.0,1000.0,0.415784419225,48.9709625413,46.595914897
57,1000.0,0.0,650.0,632.0,254.0,650.0,560.0,525.0,830.0,250.0,30.0,650.0,0.152681082983,49.2394600419,48.297192393
58,1000.0,0.0,650.0,632.0,254.0,650.0,560.0,540.0,842.0,250.0,30.0,650.0,0.166416469936,49.2037081101,48.2537575722
59,1340.0,0.0,650.0,632.0,254.0,650.0,560.0,540.0,830.0,250.0,30.0,650.0,0.168149364272,49.2194641747,48.3279917834
60,1000.0,0.0,650.0,632.0,254.0,650.0,560.0,540.0,830.0,200.0,650.0,200.0,0.0437182745793,49.6650745731,49.6650745731
61,1000.0,0.0,650.0,650.0,254.0,650.0,560.0,540.0,830.0,250.0,55.0,540.0,0.144700919338,49.3158938305,48.5016103107
62,1000.0,0.0,650.0,610.0,254.0,650.0,560.0,540.0,830.0,250.0,55.0,540.0,0.144686092131,49.3305662732,48.5598701908
63,1000.0,0.0,650.0,632.0,254.0,650.0,560.0,540.0,794.0,250.0,7500.0,1000.0,0.411329718895,48.953510626,46.6131657537
64,1000.0,0.0,650.0,632.0,254.0,650.0,560.0,540.0,830.0,275.0,30.0,650.0,0.15185813565,49.2313306669,48.3677514262
65,1280.0,0.0,650.0,632.0,254.0,650.0,560.0,540.0,830.0,250.0,55.0,540.0,0.1452694498,49.3328679394,48.5463425449
66,860.0,0.0,650.0,632.0,254.0,650.0,560.0,540.0,830.0,250.0,1.0,254.0,0.130084369215,49.3470707424,48.3977277935
67,1000.0,0.0,650.0,632.0,254.0,650.0,560.0,540.0,834.0,250.0,1.0,254.0,0.116098089918,49.4577410066,49.0118128098
68,1000.0,0.0,650.0,632.0,254.0,650.0,560.0,546.0,830.0,250.0,20.0,830.0,0.216127028602,48.9810322799,47.3696940826
69,1000.0,0.0,650.0,632.0,236.0,650.0,560.0,540.0,830.0,250.0,20.0,830.0,0.213654366872,49.0853925461,47.3751574185
70,1000.0,0.0,650.0,632.0,254.0,652.0,560.0,540.0,830.0,250.0,20.0,830.0,0.216191269918,48.9953304014,47.3694297666
71,1000.0,0.0,650.0,632.0,254.0,650.0,532.0,540.0,830.0,250.0,600.0,250.0,0.0572761042706,49.5431272884,49.5431272884
72,1000.0,0.0,650.0,632.0,254.0,650.0,560.0,540.0,812.0,250.0,55.0,540.0,0.144009535952,49.3771227603,48.5720231045
73,1000.0,0.0,650.0,632.0,254.0,650.0,568.0,540.0,830.0,250.0,55.0,540.0,0.144707637551,49.3248236125,48.5337013766
74,1000.0,0.0,650.0,632.0,254.0,612.0,560.0,540.0,830.0,250.0,20.0,830.0,0.215877365298,49.056593526,47.3671125731
75,1000.0,0.0,650.0,632.0,254.0,650.0,560.0,540.0,782.0,250.0,7500.0,1000.0,0.412225883039,48.9587373489,46.6128692961
76,1000.0,0.0,650.0,632.0,254.0,650.0,560.0,531.0,830.0,250.0,600.0,250.0,0.0572349024822,49.5426787983,49.5426787983
77,1000.0,0.0,635.0,632.0,254.0,650.0,560.0,540.0,830.0,250.0,600.0,250.0,0.0572059755235,49.5457451978,49.5457451978
78,1000.0,0.0,650.0,632.0,254.0,650.0,540.0,540.0,830.0,250.0,55.0,540.0,0.144679174417,49.337641041,48.5655573714
79,1000.0,0.0,650.0,632.0,254.0,650.0,560.0,555.0,830.0,250.0,20.0,830.0,0.216164713136,48.9499399375,47.3682212743
80,1000.0,0.0,650.0,632.0,254.0,650.0,560.0,540.0,766.0,250.0,30.0,650.0,0.153238102984,49.2617678252,48.3118954375
81,1000.0,0.0,620.0,632.0,254.0,650.0,560.0,540.0,830.0,250.0,48.0,632.0,0.164491953017,49.2615893656,48.214935116
82,1180.0,0.0,650.0,632.0,254.0,650.0,560.0,540.0,830.0,250.0,20.0,830.0,0.216582599315,48.9198089361,47.6116321482
83,1000.0,0.0,650.0,632.0,235.0,650.0,560.0,540.0,830.0,250.0,55.0,540.0,0.143038012695,49.4016061566,48.5735471729
84,1000.0,0.0,650.0,632.0,249.0,650.0,560.0,540.0,830.0,250.0,6.0,249.0,0.11306554984,49.4765877985,49.0631611367
85,1000.0,0.0,650.0,632.0,254.0,650.0,528.0,540.0,830.0,250.0,600.0,250.0,0.0572882880647,49.5432115673,49.5432115673
86,1080.0,0.0,650.0,632.0,254.0,650.0,560.0,540.0,830.0,250.0,7420.0,1080.0,0.460424827645,48.7863438736,46.5529768308
87,1000.0,0.0,650.0,632.0,254.0,650.0,560.0,540.0,830.0,410.0,35.0,560.0,0.149205873978,49.2984565805,48.5324910318
88,1000.0,0.0,650.0,632.0,254.0,624.0,560.0,540.0,830.0,250.0,7500.0,1000.0,0.415684415531,48.9568856821,46.5985133572
89,1000.0,0.0,650.0,632.0,254.0,650.0,560.0,540.0,806.0,250.0,55.0,540.0,0.144008406913,49.3917883157,48.5760818387
90,1000.0,0.0,650.0,632.0,254.0,668.0,560.0,540.0,830.0,250.0,55.0,540.0,0.145493658048,49.3099761861,48.5005731837
91,1000.0,0.0,650.0,632.0,254.0,648.0,560.0,540.0,830.0,250.0,7500.0,1000.0,0.414552690198,48.9570436852,46.6018931744
92,1060.0,0.0,650.0,632.0,254.0,650.0,560.0,540.0,830.0,250.0,48.0,632.0,0.164590012432,49.1965956652,48.2846316062
93,1000.0,0.0,650.0,632.0,254.0,650.0,560.0,540.0,830.0,245.0,30.0,650.0,0.152493670884,49.2450827569,48.2760033761
94,1000.0,0.0,650.0,632.0,254.0,650.0,560.0,540.0,830.0,320.0,48.0,632.0,0.164931534291,49.197216122,48.2813762416
95,1000.0,0.0,650.0,510.0,254.0,650.0,560.0,540.0,830.0,250.0,170.0,510.0,0.141536681328,49.3056264889,48.1862794288
96,1000.0,0.0,650.0,630.0,254.0,650.0,560.0,540.0,830.0,250.0,1.0,254.0,0.115802406198,49.4626167516,49.0336979011
97,1000.0,0.0,650.0,632.0,254.0,650.0,560.0,540.0,764.0,250.0,86.0,764.0,0.199240304675,49.0840038652,47.3667726882
98,1000.0,0.0,650.0,632.0,254.0,650.0,560.0,540.0,804.0,250.0,48.0,632.0,0.162947001472,49.2813457403,48.2153811594
